Textbox4,Textbox2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaheim Regional Medical Center Price Transparency CDM,Data as of 4/1/2021 11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HospCode,Code,Description,Code_Type,CMS Shoppable,Craneware Shoppable List,Package/Line_Level,Avg Charge 837,Total Vol 837,Min_Allowable_835,Max_Allowable_835,Avg_Allowable_835,Total_Vol_835,National 50th Percentile,National 75th Percentile,National 90th Percentile,AETNA_Avg_Allowable,AETNA_Max_Allowable,AETNA_Min_Allowable,ANTHEM BC LIFE & HEALTH INS CO_Avg_Allowable,ANTHEM BC LIFE & HEALTH INS CO_Max_Allowable,ANTHEM BC LIFE & HEALTH INS CO_Min_Allowable,BCBS FEP_Avg_Allowable,BCBS FEP_Max_Allowable,BCBS FEP_Min_Allowable,BLUE CROSS OF CALIFORNIA (CA)_Avg_Allowable,BLUE CROSS OF CALIFORNIA (CA)_Max_Allowable,BLUE CROSS OF CALIFORNIA (CA)_Min_Allowable,BLUE CROSS OF CALIFORNIA_Avg_Allowable,BLUE CROSS OF CALIFORNIA_Max_Allowable,BLUE CROSS OF CALIFORNIA_Min_Allowable,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN_Avg_Allowable,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN_Max_Allowable,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN_Min_Allowable,BLUE SHIELD OF CALIFORNIA_Avg_Allowable,BLUE SHIELD OF CALIFORNIA_Max_Allowable,BLUE SHIELD OF CALIFORNIA_Min_Allowable,CA MEDI-CAL_Avg_Allowable,CA MEDI-CAL_Max_Allowable,CA MEDI-CAL_Min_Allowable,CALIFORNIA PHYSICIANS SERVICE DBA BLUE SHIELD CA_Avg_Allowable,CALIFORNIA PHYSICIANS SERVICE DBA BLUE SHIELD CA_Max_Allowable,CALIFORNIA PHYSICIANS SERVICE DBA BLUE SHIELD CA_Min_Allowable,CALOPTIMA_Avg_Allowable,CALOPTIMA_Max_Allowable,CALOPTIMA_Min_Allowable,CALPERS_Avg_Allowable,CALPERS_Max_Allowable,CALPERS_Min_Allowable,CALVIVA HEALTH_Avg_Allowable,CALVIVA HEALTH_Max_Allowable,CALVIVA HEALTH_Min_Allowable,CAREMORE_Avg_Allowable,CAREMORE_Max_Allowable,CAREMORE_Min_Allowable,CHOC HEALTH ALLIANCE_Avg_Allowable,CHOC HEALTH ALLIANCE_Max_Allowable,CHOC HEALTH ALLIANCE_Min_Allowable,CIGNA HEALTH AND LIFE INSURANCE COMPANY_Avg_Allowable,CIGNA HEALTH AND LIFE INSURANCE COMPANY_Max_Allowable,CIGNA HEALTH AND LIFE INSURANCE COMPANY_Min_Allowable,CONNECTICUT GENERAL LIFE INS CO_Avg_Allowable,CONNECTICUT GENERAL LIFE INS CO_Max_Allowable,CONNECTICUT GENERAL LIFE INS CO_Min_Allowable,GEOGRAPHIC MANAGED CARE_Avg_Allowable,GEOGRAPHIC MANAGED CARE_Max_Allowable,GEOGRAPHIC MANAGED CARE_Min_Allowable,GREATWESTHEALTHCARE-CIGNA_Avg_Allowable,GREATWESTHEALTHCARE-CIGNA_Max_Allowable,GREATWESTHEALTHCARE-CIGNA_Min_Allowable,GWH-CIGNA_Avg_Allowable,GWH-CIGNA_Max_Allowable,GWH-CIGNA_Min_Allowable,HEALTH NET COMMUNITY SOLUTIONS_Avg_Allowable,HEALTH NET COMMUNITY SOLUTIONS_Max_Allowable,HEALTH NET COMMUNITY SOLUTIONS_Min_Allowable,HEALTHNET INC._Avg_Allowable,HEALTHNET INC._Max_Allowable,HEALTHNET INC._Min_Allowable,NORIDIAN ADMINISTRATIVE SERVICES_Avg_Allowable,NORIDIAN ADMINISTRATIVE SERVICES_Max_Allowable,NORIDIAN ADMINISTRATIVE SERVICES_Min_Allowable,NORIDIAN JEA_Avg_Allowable,NORIDIAN JEA_Max_Allowable,NORIDIAN JEA_Min_Allowable,PACIFICARE OF CALIFORNIA_Avg_Allowable,PACIFICARE OF CALIFORNIA_Max_Allowable,PACIFICARE OF CALIFORNIA_Min_Allowable,UNITED HEALTHCARE INSURANCE COMPANY_Avg_Allowable,UNITED HEALTHCARE INSURANCE COMPANY_Max_Allowable,UNITED HEALTHCARE INSURANCE COMPANY_Min_Allowable,UNITEDHEALTHCARE OF CALIFORNIA INC_Avg_Allowable,UNITEDHEALTHCARE OF CALIFORNIA INC_Max_Allowable,UNITEDHEALTHCARE OF CALIFORNIA INC_Min_Allowable
2020064,3,"ECMO OR TRACH WITH MV >96 HRS OR PDX EXC FACE, MOUTH & NECK WITH MAJ O.R.",DRG,,,Line,1234375.29,6,146982.26,237433.75,173848.4,4,,,,237433.75,237433.75,237433.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152653.28,155488.79,146982.26,,,,,,,,,,,,
2020064,4,"TRACH WITH MV >96 HRS OR PDX EXC FACE, MOUTH & NECK WITHOUT MAJ O.R.",DRG,,,Line,802747.88,18,60635.89,117856.25,92488.92,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92488.92,117856.25,60635.89,,,,,,,,,,,,
2020064,5,LIVER TRANSPLANT WITH COMORBITY OR INTESTINAL TRANSPLANT,DRG,,,Line,1169552.97,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,24,CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX WITHOUT COMORBITY,DRG,,,Line,85550.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH COMPLICATION,DRG,,,Line,84543,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,28,SPINAL PROCEDURES WITH COMORBITY,DRG,,,Line,363295.28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,31,VENTRICULAR SHUNT PROCEDURES WITH COMORBITY,DRG,,,Line,167586.75,4,35522.4,35522.4,35522.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35522.4,35522.4,35522.4,,,,,,,,,,,,
2020064,38,EXTRACRANIAL PROCEDURES WITH COMPLICATION,DRG,,,Line,124672.92,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,39,EXTRACRANIAL PROCEDURES WITHOUT COMPLICATION/COMORBITY,DRG,,,Line,75686.74,17,9263.87,9263.87,9263.87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9263.87,9263.87,9263.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC WITH COMPLICATION OR PERIPH NEUROSTIM,DRG,,,Line,73713.47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC WITHOUT COMPLICATION/COMORBITY,DRG,,,Line,50973.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,43,,DRG,,,Line,93429.41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,44,,DRG,,,Line,92425,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,45,,DRG,,,Line,68170.44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,46,,DRG,,,Line,42850.22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,47,,DRG,,,Line,56865.47,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,48,,DRG,,,Line,53034.18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020064,50,,DRG,,,Line,53839,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
